Full Name,Gender,Nationality,Age Group,Course,Semester,Subjects Enrolled,Study Preference,Availability,Learning Style,Motivational Factors,Preferred Study Environment,Strengths,Hobbies,Interests Outside of Academics,Future Career Aspirations,Preferred Communication Channels,Proficiency in Tools/Technologies,Location Preference,Preferred Study Partner Personality,Past Group Project Experience,Willingness to Mentor Others
Taylor Rodriguez,Female,Mexico,25+,Bachelor's,Sem 6,"Political Science, Sociology, Chemistry, Psychology",Group,"Sun (1pm-2pm), Wed (11am-3pm), Tue (2pm-6pm)",Visual,Competition,Quiet Spaces,Presentation,Cooking,Community Service,Supply Chain Manager,WhatsApp,SQL,Online,Competitive,Yes,Yes
Thomas White,Non-Binary,Ireland,25+,Master's,Sem 5,"International Business, Finance, Degin Futere, Environmental Science",Individual,"Sun (11am-3pm), Wed (8am-9am), Tue (2pm-5pm)",Auditory,Personal Goals,Group Study Rooms,Problem-Solving,Photography,Group Entertainment,Project Manager,Slack,Editing Tools,Online,Focused,No,No
Krystal Winters,Binary,Brazil,18-21,Master's,Sem 5,"Cybersecurity, Marketing, Environmental Science, Finance",Group,"Sun (8am-11am), Wed (3pm-7pm), Tue (12pm-1pm)",Kinesthetic,Competition,Library,Problem-Solving,Music,Travel,Business Analyst,Email,Editing Tools,In-person,Collaborative,Yes,No
Craig Mata,Non-Binary,New Zealand,21-25,Master's,Sem 8,"Urban Development, Environmental Science, Education Leadership, International Business",Group,"Sun (12pm-1pm), Wed (4pm-5pm), Tue (9am-1pm)",Auditory,Competition,Cafes,Analytical Thinking,Music,Tech Entrepreneurship,Supply Chain Manager,WhatsApp,Adobe Illustration,Online,Collaborative,No,No
Aaron Lopez,Female,China,21-25,Bachelor's,Sem 5,"Computer Science, Political Science, Psychology, Mathematics",Individual,"Sun (10am-1pm), Wed (10am-1pm), Tue (8am-11am)",Kinesthetic,Personal Goals,Quiet Spaces,Research,Cooking,Tech Entrepreneurship,Software Engineer,In-Person,Editing Tools,In-person,Relaxed,Yes,Yes
Matthew Simpson,Non-Binary,China,25+,Master's,Sem 7,"Cybersecurity, Business Administration, Education Leadership, Degin Futere",Group,"Sun (12pm-2pm), Wed (3pm-6pm), Tue (3pm-7pm)",Visual,Collaboration,Library,Presentation,Cooking,Independent Music,Data Scientist,In-Person,Python,In-person,Focused,Yes,Yes
Andrew Boyer,Prefer Not to Say,India,18-21,Master's,Sem 7,"Cybersecurity, Urban Development, Education Leadership, Finance",Group,"Sun (10am-1pm), Wed (10am-11am), Tue (2pm-3pm)",Reading/Writing,Personal Goals,Library,Research,Sports,Financial Literacy Education,Business Analyst,WhatsApp,Animation Tools,Online,Collaborative,Yes,Yes
Nicholas Chen,Male,Canada,25+,Master's,Sem 6,"Business Administration, Degin Futere, Architecture, Environmental Science",Group,"Sun (2pm-6pm), Wed (12pm-1pm), Tue (8am-11am)",Kinesthetic,Collaboration,Group Study Rooms,Research,Robotics,Environmental Activism,Data Scientist,In-Person,Editing Tools,In-person,Collaborative,Yes,No
Vicki Lee,Non-Binary,Germany,25+,Master's,Sem 4,"International Business, Business Administration, Education Leadership, Degin Futere",Individual,"Sun (1pm-3pm), Wed (4pm-6pm), Tue (11am-12pm)",Reading/Writing,Personal Goals,Quiet Spaces,Research,Running,Travel,Business Analyst,In-Person,Excel,In-person,Focused,No,No
Kerry West,Non-Binary,China,25+,Master's,Sem 4,"Degin Futere, Artificial Intelligence, Mechanical Engineering, Data Science",Individual,"Sun (3pm-7pm), Wed (5pm-7pm), Tue (12pm-1pm)",Kinesthetic,Deadlines,Cafes,Time Management,Photography,Digital Marketing,Software Engineer,WhatsApp,Animation Tools,Online,Focused,Yes,Yes
Gabrielle Reid,Female,Mexico,25+,Master's,Sem 3,"Machine Learning, Education Leadership, Finance, Data Science",Individual,"Sun (11am-1pm), Wed (8am-12pm), Tue (12pm-4pm)",Visual,Personal Goals,Group Study Rooms,Research,Running,Financial Literacy Education,Data Scientist,Slack,Animation Tools,Online,Focused,No,Yes
Matthew Wright,Prefer Not to Say,India,25+,Master's,Sem 4,"Data Science, Mechanical Engineering, Architecture, International Business",Individual,"Sun (10am-12pm), Wed (9am-11am), Tue (8am-11am)",Visual,Competition,Group Study Rooms,Presentation,Music,Financial Literacy Education,Business Analyst,In-Person,Animation Tools,Online,Competitive,Yes,Yes
Stacy Lane,Non-Binary,USA,25+,Bachelor's,Sem 2,"Political Science, Engineering Fundamentals, Sociology, Physics",Individual,"Sun (4pm-8pm), Wed (8am-12pm), Tue (5pm-7pm)",Reading/Writing,Collaboration,Cafes,Problem-Solving,Hiking,Community Service,Data Scientist,Slack,Power Point,In-person,Collaborative,Yes,No
Joseph Fuller,Non-Binary,France,25+,Bachelor's,Sem 6,"Engineering Fundamentals, Geography, Economics, Chemistry",Individual,"Sun (1pm-4pm), Wed (10am-11am), Tue (11am-2pm)",Reading/Writing,Collaboration,Quiet Spaces,Presentation,Cycling,Philosophy,Software Engineer,Email,Power Point,Online,Collaborative,Yes,No
Cameron Hurst,Prefer Not to Say,Mexico,25+,Master's,Sem 8,"Mechanical Engineering, International Business, Environmental Science, International Relations",Group,"Sun (8am-9am), Wed (11am-3pm), Tue (11am-3pm)",Reading/Writing,Competition,Group Study Rooms,Presentation,Writing,Volunteering,Data Scientist,Email,Excel,Online,Relaxed,Yes,Yes
Alexander Cooper,Prefer Not to Say,India,25+,Master's,Sem 8,"Degin Futere, International Relations, Marketing, Machine Learning",Group,"Sun (3pm-4pm), Wed (9am-11am), Tue (4pm-7pm)",Kinesthetic,Competition,Cafes,Analytical Thinking,Chess,Volunteering,Software Engineer,In-Person,Python,In-person,Relaxed,Yes,No
Danielle Perez,Binary,Australia,18-21,Bachelor's,Sem 4,"Mathematics, Political Science, Chemistry, Literature",Group,"Sun (1pm-3pm), Wed (3pm-5pm), Tue (3pm-5pm)",Auditory,Collaboration,Quiet Spaces,Analytical Thinking,Reading,Renewable Energy,Project Manager,Email,Adobe Illustration,In-person,Relaxed,No,No
Michelle Evans,Binary,Japan,18-21,Master's,Sem 4,"Data Science, International Business, Machine Learning, Marketing",Group,"Sun (10am-1pm), Wed (1pm-4pm), Tue (9am-11am)",Visual,Personal Goals,Library,Analytical Thinking,Gaming,Open Source Contributions,Supply Chain Manager,Slack,Office 365,Online,Focused,No,Yes
Jennifer Young,Binary,South Africa,25+,Master's,Sem 6,"Data Science, Cybersecurity, Degin Futere, Business Administration",Individual,"Sun (4pm-8pm), Wed (3pm-7pm), Tue (8am-12pm)",Auditory,Personal Goals,Quiet Spaces,Presentation,Reading,Digital Marketing,Project Manager,Slack,Python,In-person,Relaxed,Yes,No
Sharon Martinez,Female,Japan,25+,Bachelor's,Sem 1,"Engineering Fundamentals, History, Psychology, Chemistry",Group,"Sun (2pm-5pm), Wed (11am-12pm), Tue (4pm-7pm)",Auditory,Personal Goals,Group Study Rooms,Analytical Thinking,Robotics,Tech Entrepreneurship,Business Analyst,WhatsApp,Animation Tools,In-person,Relaxed,Yes,No
Melissa Sims,Male,Mexico,25+,Master's,Sem 5,"Finance, Environmental Science, Mechanical Engineering, Machine Learning",Individual,"Sun (9am-10am), Wed (1pm-5pm), Tue (4pm-8pm)",Auditory,Competition,Group Study Rooms,Presentation,Robotics,Culinary Arts,Software Engineer,Email,Excel,In-person,Focused,Yes,Yes
Patricia Branch,Female,Mexico,25+,Bachelor's,Sem 4,"Literature, Sociology, Biology, Computer Science",Individual,"Sun (12pm-3pm), Wed (11am-3pm), Tue (2pm-5pm)",Auditory,Personal Goals,Group Study Rooms,Time Management,Reading,DJ,Software Engineer,In-Person,Animation Tools,Online,Relaxed,Yes,Yes
Bruce Mills,Male,Australia,25+,Bachelor's,Sem 3,"Physics, Computer Science, Engineering Fundamentals, Economics",Group,"Sun (4pm-8pm), Wed (3pm-4pm), Tue (10am-1pm)",Reading/Writing,Personal Goals,Library,Research,Photography,Independent Music,Supply Chain Manager,Slack,Adobe Illustration,In-person,Collaborative,Yes,No
Kimberly Torres,Non-Binary,UK,21-25,Bachelor's,Sem 1,"Political Science, Computer Science, Chemistry, Literature",Group,"Sun (10am-11am), Wed (3pm-7pm), Tue (9am-11am)",Auditory,Competition,Cafes,Time Management,Painting,Independent Music,Project Manager,In-Person,SQL,Online,Relaxed,Yes,No
Jessica Contreras,Male,Germany,25+,Bachelor's,Sem 3,"Sociology, Mathematics, Computer Science, Engineering Fundamentals",Group,"Sun (12pm-3pm), Wed (12pm-2pm), Tue (4pm-5pm)",Auditory,Deadlines,Library,Analytical Thinking,Photography,Culinary Arts,Project Manager,WhatsApp,Power Point,In-person,Focused,No,No
Sandra Bell,Non-Binary,Ireland,21-25,Master's,Sem 8,"Finance, Business Administration, Environmental Science, Urban Development",Individual,"Sun (8am-10am), Wed (9am-12pm), Tue (10am-2pm)",Visual,Deadlines,Group Study Rooms,Research,Sports,Financial Literacy Education,Business Analyst,Slack,Python,Online,Focused,No,Yes
Matthew Beck,Prefer Not to Say,New Zealand,25+,Master's,Sem 8,"Data Science, Environmental Science, Cybersecurity, Artificial Intelligence",Group,"Sun (2pm-4pm), Wed (4pm-5pm), Tue (12pm-2pm)",Kinesthetic,Deadlines,Library,Research,Chess,Community Service,Supply Chain Manager,Email,SQL,Online,Focused,Yes,Yes
Brian White,Binary,Germany,25+,Master's,Sem 1,"Finance, Urban Development, Data Science, Machine Learning",Group,"Sun (8am-12pm), Wed (5pm-9pm), Tue (3pm-4pm)",Auditory,Collaboration,Library,Presentation,Music,DJ,Data Scientist,Email,Animation Tools,In-person,Collaborative,No,No
Jessica Sullivan,Prefer Not to Say,South Africa,18-21,Bachelor's,Sem 8,"History, Economics, Physics, Psychology",Individual,"Sun (4pm-5pm), Wed (5pm-8pm), Tue (9am-11am)",Visual,Competition,Quiet Spaces,Analytical Thinking,Sports,Wildlife Conservation,Software Engineer,In-Person,Excel,Online,Competitive,Yes,No
Andrew Garcia,Male,South Africa,21-25,Bachelor's,Sem 7,"Economics, Literature, Chemistry, Political Science",Group,"Sun (8am-11am), Wed (3pm-6pm), Tue (12pm-4pm)",Kinesthetic,Competition,Cafes,Problem-Solving,Music,Volunteering,Project Manager,WhatsApp,Office 365,In-person,Relaxed,Yes,No
Raymond French,Male,Australia,18-21,Bachelor's,Sem 1,"Chemistry, Mathematics, Physics, Economics",Individual,"Sun (9am-1pm), Wed (2pm-4pm), Tue (3pm-7pm)",Reading/Writing,Collaboration,Cafes,Time Management,Writing,Baking,Project Manager,Slack,Excel,Online,Competitive,No,Yes
Matthew Briggs,Female,Canada,18-21,Master's,Sem 2,"International Business, Business Administration, Degin Futere, Marketing",Group,"Sun (8am-12pm), Wed (2pm-5pm), Tue (1pm-5pm)",Kinesthetic,Personal Goals,Library,Research,Hiking,Financial Literacy Education,Software Engineer,Slack,Power Point,Online,Collaborative,No,Yes
Crystal Monroe,Female,Japan,25+,Master's,Sem 8,"Machine Learning, Architecture, International Business, International Relations",Individual,"Sun (5pm-6pm), Wed (12pm-3pm), Tue (12pm-3pm)",Kinesthetic,Personal Goals,Library,Problem-Solving,Photography,Culinary Arts,Software Engineer,WhatsApp,SQL,Online,Competitive,No,Yes
Timothy Jones,Binary,France,21-25,Master's,Sem 1,"Data Science, Marketing, International Business, Finance",Individual,"Sun (2pm-4pm), Wed (8am-11am), Tue (3pm-6pm)",Visual,Personal Goals,Library,Presentation,Sports,Art Exhibitions,Business Analyst,WhatsApp,Adobe Illustration,Online,Relaxed,Yes,No
Jason Knight,Male,Germany,25+,Master's,Sem 1,"Data Science, Cybersecurity, Degin Futere, Environmental Science",Individual,"Sun (2pm-6pm), Wed (10am-2pm), Tue (4pm-7pm)",Auditory,Competition,Cafes,Analytical Thinking,Cooking,Community Service,Project Manager,Slack,Office 365,In-person,Collaborative,No,Yes
Tim Hernandez,Male,China,18-21,Bachelor's,Sem 3,"Sociology, Psychology, Literature, Biology",Individual,"Sun (8am-9am), Wed (12pm-2pm), Tue (12pm-4pm)",Auditory,Deadlines,Library,Analytical Thinking,Cycling,Mental Health Advocacy,Project Manager,In-Person,Power Point,In-person,Relaxed,Yes,No
Tracy Perry,Non-Binary,Nigeria,25+,Bachelor's,Sem 1,"Political Science, Biology, Physics, Mathematics",Group,"Sun (5pm-9pm), Wed (5pm-8pm), Tue (12pm-3pm)",Kinesthetic,Personal Goals,Library,Analytical Thinking,Chess,Financial Literacy Education,Business Analyst,In-Person,SQL,Online,Competitive,No,Yes
Terry Booker,Prefer Not to Say,Japan,21-25,Bachelor's,Sem 1,"Political Science, Economics, Chemistry, Engineering Fundamentals",Individual,"Sun (1pm-4pm), Wed (3pm-6pm), Tue (5pm-8pm)",Auditory,Competition,Group Study Rooms,Presentation,Cooking,Baking,Software Engineer,Slack,Editing Tools,Online,Collaborative,Yes,Yes
Isaac Spencer,Prefer Not to Say,Canada,18-21,Master's,Sem 4,"Machine Learning, Education Leadership, Marketing, Environmental Science",Individual,"Sun (3pm-4pm), Wed (1pm-3pm), Tue (3pm-6pm)",Auditory,Collaboration,Library,Analytical Thinking,Gaming,Art Exhibitions,Project Manager,WhatsApp,Editing Tools,Online,Collaborative,No,Yes
April Romero,Female,Ireland,21-25,Bachelor's,Sem 8,"Physics, Chemistry, Biology, Sociology",Individual,"Sun (9am-11am), Wed (11am-12pm), Tue (11am-2pm)",Auditory,Collaboration,Group Study Rooms,Analytical Thinking,Hiking,Philosophy,Software Engineer,WhatsApp,Office 365,Online,Focused,Yes,No
Jerry Patterson,Prefer Not to Say,UK,25+,Master's,Sem 2,"Mechanical Engineering, International Business, International Relations, Business Administration",Individual,"Sun (12pm-4pm), Wed (12pm-4pm), Tue (11am-12pm)",Visual,Personal Goals,Library,Problem-Solving,Hiking,Philosophy,Supply Chain Manager,WhatsApp,Editing Tools,Online,Focused,No,No
Cindy Long,Male,Germany,21-25,Master's,Sem 3,"Urban Development, Degin Futere, Artificial Intelligence, International Business",Individual,"Sun (8am-11am), Wed (3pm-5pm), Tue (11am-2pm)",Kinesthetic,Competition,Quiet Spaces,Time Management,Running,Environmental Activism,Software Engineer,WhatsApp,Editing Tools,Online,Focused,Yes,Yes
Nicholas Garner,Non-Binary,Germany,25+,Bachelor's,Sem 6,"Computer Science, Engineering Fundamentals, Mathematics, Literature",Individual,"Sun (10am-1pm), Wed (9am-11am), Tue (11am-3pm)",Visual,Competition,Library,Presentation,Sports,Community Service,Software Engineer,WhatsApp,Animation Tools,Online,Collaborative,No,No
Sandra Bailey,Female,India,18-21,Bachelor's,Sem 1,"Sociology, Biology, Political Science, Psychology",Group,"Sun (5pm-9pm), Wed (3pm-7pm), Tue (10am-11am)",Visual,Collaboration,Quiet Spaces,Presentation,Running,Group Entertainment,Business Analyst,In-Person,Adobe Illustration,In-person,Competitive,Yes,No
Marissa Daniels,Binary,USA,18-21,Master's,Sem 1,"Machine Learning, Urban Development, Degin Futere, Mechanical Engineering",Group,"Sun (5pm-6pm), Wed (4pm-6pm), Tue (11am-12pm)",Auditory,Competition,Quiet Spaces,Problem-Solving,Running,Culinary Arts,Data Scientist,WhatsApp,Python,In-person,Focused,No,Yes
Donna Mccormick,Prefer Not to Say,Brazil,25+,Bachelor's,Sem 5,"Economics, Political Science, Engineering Fundamentals, Sociology",Group,"Sun (12pm-2pm), Wed (3pm-5pm), Tue (3pm-7pm)",Auditory,Competition,Library,Presentation,Writing,Travel,Project Manager,In-Person,Python,In-person,Competitive,No,Yes
Benjamin Gonzalez,Male,France,21-25,Bachelor's,Sem 2,"Engineering Fundamentals, Literature, Political Science, Economics",Individual,"Sun (11am-12pm), Wed (12pm-1pm), Tue (3pm-4pm)",Auditory,Deadlines,Quiet Spaces,Problem-Solving,Running,Baking,Business Analyst,Slack,Adobe Illustration,Online,Collaborative,No,Yes
David Santiago,Binary,France,18-21,Master's,Sem 5,"Business Administration, Degin Futere, Architecture, Machine Learning",Group,"Sun (9am-12pm), Wed (4pm-7pm), Tue (1pm-4pm)",Visual,Collaboration,Library,Presentation,Dance,Language Learning,Data Scientist,Slack,Adobe Illustration,In-person,Competitive,No,Yes
Nicholas Freeman,Female,Ireland,18-21,Bachelor's,Sem 6,"Engineering Fundamentals, Mathematics, Geography, Sociology",Group,"Sun (2pm-5pm), Wed (8am-10am), Tue (3pm-7pm)",Kinesthetic,Competition,Library,Analytical Thinking,Chess,Culinary Arts,Software Engineer,In-Person,Python,Online,Competitive,No,No
Mckenzie Reese,Female,USA,18-21,Bachelor's,Sem 7,"Literature, Mathematics, Psychology, Sociology",Individual,"Sun (11am-1pm), Wed (5pm-6pm), Tue (4pm-8pm)",Kinesthetic,Competition,Quiet Spaces,Time Management,Photography,Financial Literacy Education,Software Engineer,Slack,SQL,In-person,Relaxed,Yes,No
Robert Castro,Prefer Not to Say,Germany,25+,Bachelor's,Sem 7,"Economics, Literature, Computer Science, Sociology",Individual,"Sun (8am-12pm), Wed (10am-11am), Tue (10am-1pm)",Visual,Deadlines,Quiet Spaces,Time Management,Dance,Baking,Business Analyst,Slack,Python,In-person,Competitive,No,Yes
Russell Hunter,Male,Japan,21-25,Master's,Sem 1,"Education Leadership, Degin Futere, Artificial Intelligence, Finance",Individual,"Sun (5pm-9pm), Wed (11am-3pm), Tue (2pm-4pm)",Reading/Writing,Deadlines,Group Study Rooms,Problem-Solving,Hiking,Tech Entrepreneurship,Business Analyst,In-Person,Excel,Online,Competitive,Yes,No
Donna Hernandez,Female,Canada,21-25,Bachelor's,Sem 8,"Psychology, Mathematics, Computer Science, Sociology",Group,"Sun (12pm-2pm), Wed (2pm-4pm), Tue (1pm-3pm)",Visual,Deadlines,Quiet Spaces,Problem-Solving,Cycling,DJ,Software Engineer,WhatsApp,Power Point,In-person,Competitive,Yes,Yes
Jennifer Williams,Male,USA,18-21,Bachelor's,Sem 2,"History, Computer Science, Geography, Economics",Individual,"Sun (8am-11am), Wed (5pm-6pm), Tue (4pm-5pm)",Kinesthetic,Competition,Group Study Rooms,Problem-Solving,Cooking,Wildlife Conservation,Project Manager,WhatsApp,Animation Tools,In-person,Relaxed,No,Yes
Justin Zuniga,Prefer Not to Say,France,18-21,Master's,Sem 8,"Mechanical Engineering, Education Leadership, International Business, Machine Learning",Individual,"Sun (12pm-1pm), Wed (8am-10am), Tue (1pm-4pm)",Kinesthetic,Competition,Library,Analytical Thinking,Robotics,DJ,Business Analyst,Email,SQL,In-person,Competitive,Yes,Yes
Michael Hernandez,Prefer Not to Say,Nigeria,21-25,Bachelor's,Sem 2,"Computer Science, Mathematics, Chemistry, Biology",Individual,"Sun (1pm-3pm), Wed (12pm-1pm), Tue (11am-1pm)",Visual,Personal Goals,Library,Presentation,Yoga,DJ,Supply Chain Manager,Slack,Adobe Illustration,Online,Competitive,No,No
David Juarez,Prefer Not to Say,Australia,25+,Master's,Sem 7,"Finance, Cybersecurity, Degin Futere, Machine Learning",Individual,"Sun (5pm-8pm), Wed (4pm-6pm), Tue (8am-11am)",Reading/Writing,Collaboration,Quiet Spaces,Research,Sports,Baking,Supply Chain Manager,Slack,Excel,Online,Relaxed,No,No
Sean Park,Binary,Nigeria,25+,Bachelor's,Sem 8,"Psychology, Physics, Literature, Sociology",Group,"Sun (4pm-6pm), Wed (1pm-3pm), Tue (3pm-7pm)",Visual,Collaboration,Library,Research,Running,Environmental Activism,Data Scientist,WhatsApp,Adobe Illustration,Online,Competitive,Yes,No
Alison Williams,Binary,Japan,25+,Bachelor's,Sem 4,"Political Science, Sociology, Biology, History",Individual,"Sun (10am-11am), Wed (12pm-1pm), Tue (2pm-6pm)",Visual,Competition,Library,Analytical Thinking,Yoga,Renewable Energy,Business Analyst,Email,SQL,In-person,Competitive,No,Yes
Courtney Parker,Binary,India,18-21,Master's,Sem 4,"International Business, Finance, Education Leadership, Machine Learning",Individual,"Sun (12pm-4pm), Wed (4pm-5pm), Tue (11am-2pm)",Auditory,Competition,Library,Time Management,Robotics,Open Source Contributions,Project Manager,Email,Adobe Illustration,Online,Collaborative,No,No
Judy Crawford,Female,India,21-25,Master's,Sem 8,"Education Leadership, Business Administration, Urban Development, International Business",Group,"Sun (12pm-3pm), Wed (4pm-5pm), Tue (3pm-7pm)",Auditory,Collaboration,Library,Analytical Thinking,Running,DJ,Project Manager,Slack,Python,In-person,Focused,No,No
Isaiah Maddox,Binary,Nigeria,21-25,Master's,Sem 5,"Education Leadership, Urban Development, International Relations, Environmental Science",Group,"Sun (10am-2pm), Wed (11am-12pm), Tue (11am-12pm)",Kinesthetic,Personal Goals,Cafes,Analytical Thinking,Sports,DJ,Software Engineer,Email,Power Point,Online,Relaxed,No,No
Brad Harmon,Non-Binary,Ireland,21-25,Bachelor's,Sem 8,"Psychology, Chemistry, Mathematics, Engineering Fundamentals",Group,"Sun (9am-1pm), Wed (10am-11am), Tue (2pm-5pm)",Visual,Personal Goals,Cafes,Time Management,Cycling,Tech Entrepreneurship,Business Analyst,Slack,Excel,Online,Collaborative,Yes,No
Tabitha Martin,Female,Nigeria,25+,Master's,Sem 2,"Data Science, Degin Futere, Education Leadership, Cybersecurity",Individual,"Sun (1pm-2pm), Wed (5pm-8pm), Tue (5pm-6pm)",Kinesthetic,Competition,Library,Research,Reading,Environmental Activism,Project Manager,WhatsApp,Excel,Online,Relaxed,No,Yes
Adam Roberson,Non-Binary,Germany,18-21,Bachelor's,Sem 6,"Chemistry, History, Psychology, Mathematics",Group,"Sun (2pm-6pm), Wed (10am-1pm), Tue (12pm-4pm)",Visual,Competition,Quiet Spaces,Analytical Thinking,Gaming,Travel,Supply Chain Manager,Slack,Office 365,In-person,Collaborative,No,No
Jon Watson,Male,Germany,21-25,Bachelor's,Sem 5,"Computer Science, Economics, Political Science, History",Group,"Sun (2pm-4pm), Wed (12pm-4pm), Tue (2pm-5pm)",Reading/Writing,Collaboration,Library,Presentation,Cooking,Baking,Project Manager,Email,Python,In-person,Collaborative,Yes,No
Mr. Mario Guzman,Male,India,21-25,Master's,Sem 7,"Artificial Intelligence, Degin Futere, Mechanical Engineering, Environmental Science",Individual,"Sun (12pm-1pm), Wed (1pm-4pm), Tue (1pm-5pm)",Auditory,Personal Goals,Group Study Rooms,Research,Dance,Wildlife Conservation,Project Manager,Email,Excel,In-person,Relaxed,No,Yes
Edwin Friedman,Non-Binary,Brazil,18-21,Bachelor's,Sem 5,"Mathematics, Political Science, Sociology, Physics",Individual,"Sun (8am-11am), Wed (4pm-7pm), Tue (12pm-4pm)",Reading/Writing,Personal Goals,Quiet Spaces,Presentation,Running,Art Exhibitions,Supply Chain Manager,Email,Animation Tools,In-person,Collaborative,Yes,No
Cindy Clements,Male,UK,25+,Master's,Sem 3,"Marketing, Education Leadership, Artificial Intelligence, Urban Development",Group,"Sun (2pm-6pm), Wed (1pm-5pm), Tue (10am-1pm)",Reading/Writing,Collaboration,Group Study Rooms,Time Management,Gaming,Digital Marketing,Project Manager,WhatsApp,Animation Tools,In-person,Competitive,Yes,No
Crystal Thomas,Prefer Not to Say,UK,18-21,Bachelor's,Sem 6,"Geography, Computer Science, Political Science, Mathematics",Group,"Sun (5pm-9pm), Wed (9am-1pm), Tue (1pm-3pm)",Auditory,Competition,Library,Time Management,Reading,Tech Entrepreneurship,Supply Chain Manager,Slack,Office 365,In-person,Focused,No,No
Victor Hansen,Prefer Not to Say,Japan,18-21,Master's,Sem 5,"Architecture, Cybersecurity, International Relations, Degin Futere",Individual,"Sun (8am-9am), Wed (2pm-5pm), Tue (5pm-7pm)",Auditory,Deadlines,Cafes,Time Management,Reading,Community Service,Business Analyst,Email,SQL,Online,Focused,Yes,Yes
Diane Yang,Female,South Africa,21-25,Master's,Sem 4,"Business Administration, Data Science, Artificial Intelligence, International Business",Individual,"Sun (8am-11am), Wed (2pm-4pm), Tue (11am-3pm)",Auditory,Collaboration,Cafes,Time Management,Painting,Renewable Energy,Data Scientist,In-Person,Editing Tools,Online,Relaxed,Yes,Yes
Ricky Nelson,Male,Canada,25+,Master's,Sem 3,"Finance, Education Leadership, Architecture, Degin Futere",Individual,"Sun (1pm-4pm), Wed (2pm-5pm), Tue (9am-11am)",Reading/Writing,Competition,Cafes,Research,Robotics,Language Learning,Supply Chain Manager,Email,Excel,Online,Focused,Yes,Yes
Shelley Davis,Binary,USA,18-21,Master's,Sem 2,"Business Administration, Artificial Intelligence, Mechanical Engineering, Degin Futere",Individual,"Sun (12pm-1pm), Wed (11am-2pm), Tue (9am-11am)",Reading/Writing,Personal Goals,Quiet Spaces,Analytical Thinking,Yoga,Volunteering,Supply Chain Manager,In-Person,Power Point,Online,Focused,Yes,Yes
Ashley Cooper,Female,Canada,18-21,Master's,Sem 2,"International Business, Finance, Marketing, Environmental Science",Group,"Sun (3pm-7pm), Wed (9am-11am), Tue (1pm-4pm)",Kinesthetic,Competition,Library,Time Management,Cooking,Community Service,Business Analyst,WhatsApp,Animation Tools,Online,Collaborative,Yes,Yes
Stephen Munoz,Binary,Mexico,18-21,Master's,Sem 8,"Marketing, Urban Development, Mechanical Engineering, Business Administration",Group,"Sun (10am-12pm), Wed (8am-12pm), Tue (2pm-5pm)",Auditory,Collaboration,Group Study Rooms,Time Management,Painting,Volunteering,Project Manager,In-Person,Editing Tools,Online,Competitive,Yes,No
Matthew Davis,Female,Germany,18-21,Bachelor's,Sem 3,"Mathematics, Political Science, Physics, Engineering Fundamentals",Group,"Sun (2pm-3pm), Wed (2pm-3pm), Tue (10am-11am)",Kinesthetic,Personal Goals,Quiet Spaces,Time Management,Cycling,Philosophy,Software Engineer,In-Person,Excel,Online,Competitive,No,Yes
Dylan Gonzalez,Prefer Not to Say,Brazil,21-25,Master's,Sem 7,"Business Administration, Machine Learning, Urban Development, International Relations",Group,"Sun (2pm-4pm), Wed (8am-10am), Tue (11am-3pm)",Visual,Competition,Quiet Spaces,Time Management,Dance,Renewable Energy,Project Manager,Slack,Editing Tools,Online,Collaborative,No,No
Leslie Ford,Male,France,18-21,Master's,Sem 7,"Architecture, Mechanical Engineering, International Relations, Marketing",Individual,"Sun (9am-12pm), Wed (5pm-8pm), Tue (1pm-4pm)",Kinesthetic,Deadlines,Quiet Spaces,Research,Yoga,Culinary Arts,Software Engineer,Email,Animation Tools,Online,Competitive,No,No
Bradley Russell,Female,Germany,18-21,Bachelor's,Sem 7,"Literature, Computer Science, Sociology, Engineering Fundamentals",Individual,"Sun (9am-12pm), Wed (11am-1pm), Tue (11am-2pm)",Visual,Deadlines,Quiet Spaces,Problem-Solving,Yoga,DJ,Business Analyst,Email,SQL,In-person,Competitive,Yes,Yes
Erika Dennis,Binary,Japan,25+,Master's,Sem 2,"Business Administration, Marketing, Degin Futere, Cybersecurity",Individual,"Sun (3pm-6pm), Wed (3pm-7pm), Tue (12pm-2pm)",Visual,Personal Goals,Quiet Spaces,Problem-Solving,Yoga,Independent Music,Software Engineer,Slack,Excel,Online,Competitive,No,No
Elizabeth Lopez,Binary,Mexico,21-25,Master's,Sem 3,"Artificial Intelligence, Mechanical Engineering, International Relations, Degin Futere",Group,"Sun (2pm-4pm), Wed (10am-12pm), Tue (5pm-6pm)",Auditory,Collaboration,Cafes,Analytical Thinking,Gaming,Cultural Studies,Software Engineer,WhatsApp,Animation Tools,Online,Focused,Yes,No
John Simmons,Binary,Australia,21-25,Bachelor's,Sem 2,"Geography, Chemistry, Psychology, Economics",Individual,"Sun (3pm-4pm), Wed (2pm-6pm), Tue (4pm-8pm)",Visual,Deadlines,Library,Research,Running,DJ,Data Scientist,In-Person,Animation Tools,Online,Focused,No,Yes
Amanda Webb,Male,Nigeria,21-25,Bachelor's,Sem 8,"Chemistry, History, Geography, Political Science",Individual,"Sun (1pm-4pm), Wed (5pm-9pm), Tue (9am-11am)",Visual,Collaboration,Library,Analytical Thinking,Yoga,Environmental Activism,Data Scientist,Slack,SQL,In-person,Competitive,Yes,No
